date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type
2013-01-02,1239858.0,0.0,,2,2,13,93.14,2111.0,Work
2013-01-03,1239858.0,0.0,,3,3,12,92.97,1833.0,Work
2013-01-04,1239858.0,0.0,,4,4,11,93.12,1863.0,Work
2013-01-05,1239858.0,0.0,,5,5,10,93.14666666666668,1509.0,Weekend
2013-01-06,1239858.0,0.0,,6,6,9,93.17333333333336,520.0,Weekend
2013-01-07,1239858.0,0.0,,0,7,8,93.2,1807.0,Work
2013-01-08,1239858.0,0.0,,1,8,7,93.21,1869.0,Work
2013-01-09,1239858.0,0.0,,2,9,6,93.08,1910.0,Work
2013-01-10,1239858.0,0.0,,3,10,5,93.81,1679.0,Work
2013-01-11,1239858.0,0.0,,4,11,4,93.6,1813.0,Work
2013-01-12,1239858.0,0.0,,5,12,3,93.82333333333332,1473.0,Weekend
2013-01-13,1239858.0,0.0,,6,13,2,94.04666666666664,542.0,Weekend
2013-01-14,1239858.0,0.0,,0,14,1,94.27,1780.0,Work
2013-01-15,1239858.0,0.0,,1,0,0,93.26,1680.0,Work
2013-01-16,1239858.0,0.0,,2,1,15,94.28,1933.0,Work
2013-01-17,1239858.0,0.0,,3,2,14,95.49,1786.0,Work
2013-01-18,1239858.0,0.0,,4,3,13,95.61,1745.0,Work
2013-01-19,1239858.0,0.0,,5,4,12,95.73,1389.0,Weekend
2013-01-20,1239858.0,0.0,,6,5,11,95.85,507.0,Weekend
2013-01-21,1239858.0,0.0,,0,6,10,95.97,1770.0,Work
2013-01-22,1239858.0,0.0,,1,7,9,96.09,1762.0,Work
2013-01-23,1239858.0,0.0,,2,8,8,95.06,1873.0,Work
2013-01-24,1239858.0,0.0,,3,9,7,95.35,1616.0,Work
2013-01-25,1239858.0,0.0,,4,10,6,95.15,1770.0,Work
2013-01-26,1239858.0,0.0,,5,11,5,95.41666666666669,1295.0,Weekend
2013-01-27,1239858.0,0.0,,6,12,4,95.68333333333334,542.0,Weekend
2013-01-28,1239858.0,0.0,,0,13,3,95.95,1738.0,Work
2013-01-29,1239858.0,0.0,,1,14,2,97.62,1772.0,Work
2013-01-30,1239858.0,0.0,,2,15,1,97.98,1877.0,Work
2013-01-31,1239858.0,0.0,,3,0,0,97.65,1707.0,Work
2013-02-01,1239858.0,0.0,,4,1,14,97.46,1806.0,Work
2013-02-02,1239858.0,0.0,,5,2,13,97.04333333333332,1377.0,Weekend
2013-02-03,1239858.0,0.0,,6,3,12,96.62666666666668,531.0,Weekend
2013-02-04,1239858.0,0.0,,0,4,11,96.21,1714.0,Work
2013-02-05,1239858.0,0.0,,1,5,10,96.68,1775.0,Work
2013-02-06,1239858.0,0.0,,2,6,9,96.44,1853.0,Work
2013-02-07,1239858.0,0.0,,3,7,8,95.84,1727.0,Work
2013-02-08,1239858.0,0.0,,4,8,7,95.71,1878.0,Work
2013-02-09,1239858.0,0.0,,5,9,6,96.14333333333332,1104.0,Weekend
